年份,面积,首付款,月供比例
2021,50,87.16,0.876
2022,50,101.09,0.921
2023,50,116.42,0.963
2024,50,133.15,0.999
2025,50,151.27,1.029
2026,50,170.79,1.054
2027,50,191.70,1.073
2028,50,214.01,1.087
2029,50,237.72,1.095
2030,50,262.82,1.098
2021,70,122.03,1.226
2022,70,141.53,1.290
2023,70,163.00,1.348
2024,70,186.41,1.398
2025,70,211.78,1.441
2026,70,239.11,1.476
2027,70,268.39,1.503
2028,70,299.62,1.522
2029,70,332.81,1.533
2030,70,367.95,1.538
2021,90,156.89,1.576
2022,90,181.97,1.659
2023,90,209.56,1.733
2024,90,239.67,1.798
2025,90,272.29,1.853
2026,90,307.42,1.897
2027,90,345.07,1.932
2028,90,385.22,1.956
2029,90,427.89,1.971
2030,90,473.08,1.977
2021,110,191.75,1.927
2022,110,222.41,2.027
2023,110,256.13,2.118
2024,110,292.93,2.197
2025,110,332.80,2.264
2026,110,375.74,2.319
2027,110,421.75,2.361
2028,110,470.83,2.391
2029,110,522.98,2.409
2030,110,578.21,2.416
2021,130,222.62,2.277
2022,130,262.85,2.396
2023,130,302.70,2.503
2024,130,346.19,2.596
2025,130,393.31,2.676
2026,130,444.05,2.741
2027,130,498.43,2.790
2028,130,556.44,2.826
2029,130,618.07,2.847
2030,130,683.33,2.856
2021,150,261.48,2.627
2022,150,303.28,2.764
2023,150,349.27,2.888
2024,150,399.45,2.999
2025,150,453.82,3.088
2026,150,512.37,3.162
2027,150,575.11,3.220
2028,150,642.04,3.261
2029,150,713.16,3.285
2030,150,788.46,3.295
