年份,面积,首付款,月供比例
2021,50,58.12,0.766
2022,50,67.40,0.806
2023,50,77.62,0.842
2024,50,88.77,0.874
2025,50,100.85,0.901
2026,50,113.86,0.951
2027,50,127.82,0.958
2028,50,142.68,0.961
2029,50,158.48,1.073
2030,50,175.21,1.129
2021,70,81.35,1.792
2022,70,94.36,1.223
2023,70,108.66,1.261
2024,70,124.27,1.291
2025,70,141.19,1.315
2026,70,159.40,1.331
2027,70,178.92,1.342
2028,70,199.75,1.345
2029,70,221.87,1.379
2030,70,245.30,1.451
2021,90,104.60,1.379
2022,90,121.31,1.451
2023,90,139.71,1.516
2024,90,159.78,1.573
2025,90,181.53,1.621
2026,90,204.95,1.660
2027,90,230.04,1.690
2028,90,256.82,1.712
2029,90,285.26,1.725
2030,90,315.39,1.730
2021,110,191.75,1.927
2022,110,222.41,2.027
2023,110,256.13,2.118
2024,110,292.93,2.197
2025,110,332.80,2.264
2026,110,375.74,2.319
2027,110,421.75,2.361
2028,110,470.83,2.391
2029,110,522.98,2.409
2030,110,578.21,2.416
2021,130,226.62,2.277
2022,130,262.85,2.396
2023,130,302.70,2.503
2024,130,346.19,2.596
2025,130,393.31,2.676
2026,130,444.05,2.741
2027,130,498.43,2.790
2028,130,556.44,2.826
2029,130,618.07,2.847
2030,130,683.33,2.856
2021,150,261.48,2.627
2022,150,303.28,2.764
2023,150,349.27,2.888
2024,150,399.45,2.999
2025,150,453.82,3.088
2026,150,512.37,3.162
2027,150,575.11,3.220
2028,150,642.04,3.261
2029,150,713.16,3.285
2030,150,788.46,3.295
